Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_560	341694	m	ad?	July	2016	2016/2017	2015	Plot	1
Af_561	1315514	m	ad?	July	2016	2016/2017	2015	Plot	1
Af_562	341464	m	ad	July	2017	2017/2018	2016	Plot	0
Af_563	1316245	m	ad	July	2016	2016/2017	2015	Plot	0
Af_564	341689	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_565	341436	m	ad	July	2017	2017/2018	2016	Plot	0
Af_566	1194893	f	ad	July	2016	2016/2017	2015	Plot	0
Af_567	1315882	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_568	1315501	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_569	1329714	f	juv	July	2016	2016/2017	2016	Plot	0
Af_570	1316206	m	juv	July	2016	2016/2017	2016	Plot	1
Af_571	1316351	m	juv	July	2016	2016/2017	2016	Plot	1
Af_572	341632	m	ad	July	2017	2017/2018	2016	Plot	0
Af_573	1315515	m	ad	July	2016	2016/2017	2015	Plot	0
Af_574	341478	m	ad	July	2017	2017/2018	2016	Plot	0
Af_575	1316224	f	ad	July	2016	2016/2017	2015	Plot	0
Af_576	341635	f	ad	July	2017	2017/2018	2016	Plot	0
Af_577	1316227	m	ad	July	2016	2016/2017	2015	Plot	0
Af_578	341633	f	ad?	July	2017	2017/2018	2016	Plot	0
Af_579	341685	m	juv	July	2017	2017/2018	2017	Plot	0
Af_580	341628	m	juv	July	2017	2017/2018	2017	Plot	0
Af_581	341629	m	ad	July	2017	2017/2018	2016	Plot	0
Af_582	341798	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_583	341473	f	ad	July	2017	2017/2018	2016	Plot	0
Af_584	341477	f	ad	July	2017	2017/2018	2016	Plot	0
Af_585	1194899	m	juv	July	2016	2016/2017	2016	Plot	0
Af_586	341894	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_587	1315508	m	juv	July	2016	2016/2017	2016	Plot	0
Af_588	1315502	m	sad	July	2016	2016/2017	2015	Plot	0
Af_589	1316235	f	ad	July	2016	2016/2017	2015	Plot	0
Af_590	341638	f	ad	July	2017	2017/2018	2016	Plot	0
Af_591	1329703	f	ad	July	2016	2016/2017	2015	Plot	0
Af_592	341480	f	juv	July	2017	2017/2018	2017	Plot	0
Af_593	341621	f	ad	July	2017	2017/2018	2016	Plot	1
Af_594	341688	m	ad?	July	2017	2017/2018	2016	Plot	1
Af_595	341466	f	ad	July	2017	2017/2018	2016	Plot	0
Af_596	1316338	f	juv	July	2016	2016/2017	2016	Plot	0
Af_597	1316253	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_598	341693	f	ad	July	2017	2017/2018	2016	Plot	0
Af_599	NA	f	NA	NA	NA	NA	NA	Plot	0
Af_600	341467	m	NA	July	2017	2017/2018	NA	Plot	0
Af_601	341476	m	ad	July	2017	2017/2018	2016	Plot	0
Af_602	1316210	f	ad	July	2016	2016/2017	2015	Plot	0
Af_603	341891	m	NA	July	2017	2017/2018	NA	Plot	0
Af_604	341465	m	NA	Feb	2017	2016/2017	NA	Plot	1
Af_605	341762	m	ad?	Oct	2016	2016/2017	2015	Plot	1
Af_606	1316244	m	juv	July	2016	2016/2017	2016	Plot	1
Af_607	341890	f	juv	July	2017	2017/2018	2017	Plot	0
Af_608	1316349	m	juv	July	2016	2016/2017	2016	Plot	0
Af_609	341630	m	ad	July	2017	2017/2018	2016	Plot	0
Af_610	341461	f	ad	July	2017	2017/2018	2016	Plot	0
Af_611	1329045	f	NA	July	2016	2016/2017	NA	Plot	0
Af_612	341622	f	ad	July	2017	2017/2018	2016	Plot	0
Af_613	1316248	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_614	341672	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_615	1315513	m	ad	July	2016	2016/2017	2015	Plot	1
Af_616	341847	m	NA	July	2017	2017/2018	NA	Plot	0
Af_617	1316228	m	juv?	July	2016	2016/2017	2016	Plot	0
Af_618	1316342	f	juv	July	2016	2016/2017	2016	Plot	0
Af_619	1539540	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_620	341736	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_621	1315500	m	ad	July	2016	2016/2017	2015	Plot	0
Af_622	1316497	f	juv	July	2016	2016/2017	2016	Plot	0
Af_623	1329707	m	ad	July	2016	2016/2017	2015	Plot	0
Af_624	341470	f	ad	July	2017	2017/2018	2016	Plot	0
Af_625	1316237	f	juv	July	2016	2016/2017	2016	Plot	0
Af_626	341851	m	NA	July	2017	2017/2018	NA	Plot	0
Af_627	341598	m	juv	July	2017	2017/2018	2017	Plot	0
Af_628	1329043	f	NA	July	2016	2016/2017	NA	Plot	0
Af_629	1329699	f	ad	July	2016	2016/2017	2015	Plot	0
Af_630	1316213	f	ad	July	2016	2016/2017	2015	Plot	0
Af_631	341631	f	ad	July	2017	2017/2018	2016	Plot	0
Af_632	341474	f	ad	July	2017	2017/2018	2016	Plot	0
Af_633	1329046	f	ad	July	2016	2016/2017	2015	Plot	1
Af_634	1315884	m	juv	July	2016	2016/2017	2016	Plot	1
Af_635	341856	f	NA	July	2017	2017/2018	NA	Plot	0
Af_636	1315888	f	ad	July	2016	2016/2017	2015	Plot	0
Af_637	341766	f	juv	Nov	2016	2016/2017	2016	Plot	0
Af_638	341475	m	juv	July	2017	2017/2018	2017	Plot	0
Af_639	1316352	f	juv	Nov	2016	2016/2017	2016	Plot	0
Af_640	341639	m	ad	July	2017	2017/2018	2016	Plot	0
Af_641	1315499	f	ad?	July	2016	2016/2017	2015	Plot	1
Af_642	341852	f	NA	July	2017	2017/2018	NA	Plot	0
Af_643	341883	m	juv	July	2017	2017/2018	2017	Plot	0
Af_644	341737	m	ad	Apr	2017	2017/2018	2016	Plot	0
Af_645	341623	f	ad	July	2017	2017/2018	2016	Plot	1
Af_646	341700	f	juv	July	2017	2017/2018	2017	Plot	0
Af_647	341625	m	ad	July	2017	2017/2018	2016	Plot	0
Af_648	341463	f	ad	July	2017	2017/2018	2016	Plot	0
Af_649	1316215	f	juv	July	2016	2016/2017	2016	Plot	0
Af_650	341663	f	NA	July	2017	2017/2018	NA	Plot	0
Af_651	1316207	m	juv	July	2016	2016/2017	2016	Plot	0
Af_652	1316232	f	juv?	July	2016	2016/2017	2016	Plot	0
Af_653	341640	m	ad	July	2017	2017/2018	2016	Plot	0
Af_654	1315506	m	juv	July	2016	2016/2017	2016	Plot	0
Af_655	1315879	m	juv	July	2016	2016/2017	2016	Plot	0
Af_656	1315509	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_657	341626	m	juv	July	2017	2017/2018	2017	Plot	0
Af_658	1329055	f	juv	July	2016	2016/2017	2016	Plot	0
Af_659	1316247	m	juv	July	2016	2016/2017	2016	Plot	0
Af_660	341309	f	juv?	Dec	2016	2016/2017	2016	Plot	1
Af_661	1315511	m	ad	July	2016	2016/2017	2015	Plot	0
Af_662	341681	m	juv	July	2017	2017/2018	2017	Plot	0
Af_663	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_664	1329702	m	juv	July	2016	2016/2017	2016	Plot	0
Af_665	1316231	f	juv	July	2016	2016/2017	2016	Plot	0
Af_666	341808	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_667	341848	f	NA	July	2017	2017/2018	NA	Plot	0
Af_668	341740	f	ad	Apr	2017	2017/2018	2016	Plot	0
Af_669	1540069	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_670	1316353	f	juv	July	2016	2016/2017	2016	Plot	0
Af_671	1316243	m	ad	July	2016	2016/2017	2016	Plot	0
Af_672	341606	m	NA	July	2017	2017/2018	NA	Plot	0
Af_673	1540286	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_674	1316197	m	NA	July	2016	2016/2017	NA	Plot	0
Af_675	1315496	f	juv	July	2016	2016/2017	2016	Plot	0
Af_676	341662	m	juv	July	2017	2017/2018	2017	Plot	0
Af_677	1329036	m	NA	July	2016	2016/2017	NA	Plot	0
Af_678	1315507	m	ad?	July	2016	2016/2017	2015	Plot	0
Af_679	341882	m	ad	July	2017	2017/2018	2016	Plot	0
Af_680	1316208	f	NA	July	2016	2016/2017	NA	Plot	0
Af_681	341897	m	NA	July	2017	2017/2018	NA	Plot	0
Af_682	1316202	f	NA	July	2016	2016/2017	NA	Plot	0
Af_683	341471	f	ad	July	2017	2017/2018	2016	Plot	0
Af_684	341881	f	NA	July	2017	2017/2018	NA	Plot	0
Af_685	341683	m	juv	July	2017	2017/2018	2017	Plot	0
Af_686	1316196	m	ad	July	2016	2016/2017	2015	Plot	0
Af_687	341699	m	ad	July	2017	2017/2018	2016	Plot	0
Af_688	1316251	f	juv	July	2016	2016/2017	2016	Plot	0
Af_689	1316345	m	juv	July	2016	2016/2017	2016	Plot	0
Af_690	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_691	341841	f	NA	July	2017	2017/2018	NA	Plot	0
Af_692	341717	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_693	341727	m	ad	Apr	2017	2017/2018	2017	Plot	0
Af_694	1316254	f	ad	July	2016	2016/2017	2015	Plot	0
Af_695	1329041	m	ad	July	2016	2016/2017	2015	Plot	0
Af_696	NA	m	NA	NA	NA	NA	NA	Plot	0
Af_697	1329711	f	ad	July	2016	2016/2017	2015	Plot	0
